Thu 29 Aug 2024 04:51:59 IDT

SLURM_JOBID:		 969639
SLURM_JOB_NODELIST:	 ise-cpu-intl-18 


executing python ./train_darpatc.py --scene cadets
rm: cannot remove 'result_*': No such file or directory
Start training graph 0 2024-08-29 04:52:10
Data(edge_index=[2, 4347080], test_mask=[362645], train_mask=[362645], x=[362645, 56], y=[362645])
feature  56 ; label  6
61 1.0644524097442627 0.5474518686296715 2024-08-29 07:11:02
62 1.0952421426773071 0.544960362400906 2024-08-29 07:11:11
63 1.073777198791504 0.5451868629671575 2024-08-29 07:11:19
64 1.0851638317108154 0.5447338618346546 2024-08-29 07:11:28
65 1.0757768154144287 0.5447338618346546 2024-08-29 07:11:36
66 1.0617681741714478 0.5440543601359004 2024-08-29 07:11:44
67 1.086005449295044 0.5440543601359004 2024-08-29 07:11:52
68 1.0722557306289673 0.5442808607021518 2024-08-29 07:12:01
69 1.074320912361145 0.5445073612684032 2024-08-29 07:12:09
70 1.0882914066314697 0.5370328425821065 2024-08-29 07:12:17
71 1.070602297782898 0.5370328425821065 2024-08-29 07:12:26
72 1.0881134271621704 0.5370328425821065 2024-08-29 07:12:34
73 1.0809310674667358 0.5370328425821065 2024-08-29 07:12:42
74 1.0780129432678223 0.5370328425821065 2024-08-29 07:12:50
75 1.072167158126831 0.538391845979615 2024-08-29 07:12:59
76 1.064375638961792 0.546092865232163 2024-08-29 07:13:07
77 1.0773650407791138 0.5467723669309174 2024-08-29 07:13:15
78 1.0653456449508667 0.5397508493771235 2024-08-29 07:13:24
79 1.0582714080810547 0.5397508493771235 2024-08-29 07:13:32
80 1.0754753351211548 0.5399773499433749 2024-08-29 07:13:40
81 1.0807254314422607 0.5399773499433749 2024-08-29 07:13:49
82 1.0778707265853882 0.5399773499433749 2024-08-29 07:13:57
83 1.0785157680511475 0.5399773499433749 2024-08-29 07:14:05
84 1.071894645690918 0.5397508493771235 2024-08-29 07:14:14
85 1.0763036012649536 0.5397508493771235 2024-08-29 07:14:22
86 1.0670419931411743 0.5397508493771235 2024-08-29 07:14:30
87 1.051469087600708 0.5402038505096263 2024-08-29 07:14:39
88 1.0672765970230103 0.5402038505096263 2024-08-29 07:14:47
89 1.0869221687316895 0.5406568516421291 2024-08-29 07:14:55
90 1.0691800117492676 0.5404303510758777 2024-08-29 07:15:04
91 1.058143138885498 0.5413363533408834 2024-08-29 07:15:12
92 1.0598888397216797 0.5413363533408834 2024-08-29 07:15:20
93 1.0707502365112305 0.5413363533408834 2024-08-29 07:15:29
